ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
VAFELJ, PRELIT Z MLEČNO ČOKOLADO IN DROBLJENIMI LEŠNIKI, S KREMNIM POLNILOM (40,5%) IN S CELIM LEŠNIKOM.|mlečna čokolada 30% (sladkor, kakavovo maslo, kakavova masa, POSNETO MLEKO V PRAHU, KONCENTRIRANO MASLO, EMULGATOR: LECITINI (SOJA) VANILIN), LEŠNIKI (28,5%), sladkor, palmino olje, PŠENIČNA MOKA, SIROTKA V PRAHU (MLEKO), manj masten kakav, EMULGATOR: LECITINI (SOJA), sredstvo za vzhajanje (natrijev bikarbonat), jedilna sol, vanilin.|200g|603,00|42,70 g|14,10 g|44,40 g|39,90 g|0,0 g|8,20 g|0,15 g
BONBONIERA MON CHERI, FERRERO, 157,5G|čokolada 49,00 %, sladkor 18,00 %, kakavova masa 13,00 %, kakavovo maslo, EMULGATOR: LECITINI (SOJA), vanilin, sladkor, cela češnja, sladkor, liker 13% (glukozni sirup, voda, alkohol, sladkor, aroma), kakavovo maslo.|157,5g|455,00|20,30 g|13,20 g|52,80 g|48,30 g|0,0 g|3,00 g|0,01 g
ČAJ ŽAJBELJ MATIK, 18/1, 27G|žajbelj.|27g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
SONČNI CVET sončnično olje jedilno rafinirano|jedilno rafinirano sončnično olje 100,00 %.|2l|900,00|100,00 g|12,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
ALPSKO MLEKO POSNETO 1L TBA EDGE|HOMOGENIZIRANO POSNETO MLEKO Z 0,5 % MLEČNE MAŠČOBE.|1l|37,00|0,50 g|0,30 g|4,70 g|4,70 g|0,0 g|3,30 g|0,10 g
NEGAZIRANA BREZALKOHOLNA PIJAČA IZ RASTLINSKIH IZVLEČKOV.|voda 88,00 %, sladkor 9,79 %, sadna baza 1,61 %.|1,5l|37,00|0,00 g|0,00 g|9,10 g|9,10 g|0,0 g|0,00 g|0,00 g
Instant kava brez kofeina liofilizirani kavni ekstrakt.|kava.|100g|315,00|0,30 g|0,20 g|47,00 g|2,00 g|20,00 g|21,00 g|0,80 g
SADNI SIRUP Z OKUSOM POMARANČE IZ ZGOŠČENEGA SOKA POMARANČ Z DODANIM SLADKORJEM IN SLADILI. Z NIZKO ENERGIJSKA VREDNOSTJO. SADNI DELEŽ: 9%.|voda, glukozni-fruktozni sirup, pomarančni sok iz zgoščenega soka pomaranč 9,00 %, kislina (citronska kislina), antioksidant (askorbinska kislina), barvili (beta karoten, beta-apo-8´-karotenal), naravna aroma pomaranče, aroma, stabilizatorja (gumi arabicum, glicerolni estri lesnih smol), sladila: natrijev ciklamat, natrijev saharinat, aspartam (vsebuje vir fenilalanina), acesulfam k, konzervans (kalijev sorbat).|3l|14,00|0,10 g|0,10 g|3,60 g|3,50 g|0,01 g|0,10 g|0,01 g
Polnozrnati ovseni kosmiči.|OVSENI KOSMIČI 100,00 %.|500g|366,00|7,00 g|1,40 g|58,10 g|0,70 g|10,60 g|12,50 g|0,01 g
SADNI SIRUP Z OKUSOM MALINE IZ ZGOŠČENEGA SOKA MALIN IN BEZGOVIH JAGOD Z DODANIM SLADKORJEM IN SLADILI. Z NIZKO ENERGIJSKO VREDNOSTJO. SADNI DELEŽ: 12%.|voda, glukozni-fruktozni sirup, malinov sok iz zgoščenega soka malin 9,00 %, sok iz zgoščenega soka bezgovih jagod 3,00 %, kislina (citronska kislina), sladila: natrijev ciklamat, natrijev saharinat, aspartam (vsebuje vir fenilalanina), acesulfam k, aroma, konzervansa (kalijev sorbat, natrijev benzoat).|3l|14,00|0,10 g|0,10 g|3,60 g|3,50 g|0,01 g|0,10 g|0,01 g
MLETA BREZKOFEINSKA KAVA BARCAFFE 250G|mešanica mlete pražene dekofeinizirane kave 100,00 %.|250g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Rdeča penina|MODRI PINOT 50,00 %, MODRA FRANKINJA 50,00 %.|0,75l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Jetrna pašteta - dodane mlečne beljakovine|svinjsko mastno tkivo, svinjska jetra 15,00 %, svinjsko meso, MLEČNE BELJAKOVINE, začimbe, jedilna sol, ekstrakti začimb, konzervans (e250).|50g|301,00|29,00 g|12,00 g|1,00 g|0,20 g|0,0 g|9,00 g|1,20 g
Čajna pašteta - dodane mlečne beljakovine|svinjsko meso 30,00 %, svinjsko mastno tkivo, voda, svinjska jetra, MLEČNE BELJAKOVINE, začimbe, jedilna sol, konzervans (e250).|50g|301,00|29,00 g|11,60 g|1,00 g|0,20 g|0,0 g|9,00 g|1,20 g
Mesni kapeleti 250 g|PŠENIČNI DURUM ZDROB, PŠENIČNI ZDROB, voda, DROBTINE, mortadela 9,00 %, JAJČNI PRAH, SIR, sol, aroma, ZAČIMBE, ojačevalec arome e 621.|250g|295,00|4,00 g|0,00 g|53,10 g|0,00 g|0,0 g|11,60 g|0,00 g
Kapeleti s pršutom 250 g|PŠENIČNI DURUM ZDROB, PŠENIČNI ZDROB, voda, pršut, mortadela (svinjsko meso, slanina, jedilna sol, sladkor, začimbe, arome), DROBTINE (PŠENIČNA MOKA, KVAS, JEDILNA SOL), SIR, JAJČNI PRAH, jedilna sol, začimbe, aroma, ojačevalec arome e 621.|250g|291,00|6,00 g|2,30 g|45,40 g|1,20 g|1,60 g|13,00 g|1,40 g
Sirovi kapeleti 250 g|PŠENIČNI ZDROB, PŠENIČNI DURUM ZDROB, voda, SIR 14,00 %, KRUŠNE DROBTINE (PŠENIČNA MOKA, KVAS, JEDILNA SOL), KROMPIRJEVI KOSMIČI (KROMPIR, AROME, ANTIOKSIDANT NATRIJEV METABISULFIT), JAJČNI PRAH, jedilna sol, MASLO, MLEKO V PRAHU, aroma, ojačevalec arome e 621.|250g|289,00|6,10 g|3,30 g|45,30 g|1,90 g|2,40 g|12,10 g|1,10 g
Instant mešanica za pripravo kavnega napitka.|kava, sladkor, glukozni sirup, instant kava, POSNETO MLEKO V PRAHU, LAKTOZA, kokosova maščoba, stabilizator: E339, jedilna sol.|200g|429,00|11,00 g|10,00 g|72,00 g|51,00 g|3,40 g|8,70 g|1,00 g
ALPSKO M. POLPOSNETO 0,5 L EDGE|HOMOGENIZIRANO POL POSNETO MLEKO Z 1,5 % MLEČNE MAŠČOBE.|0,5l|46,00|1,50 g|0,90 g|4,70 g|4,70 g|0,0 g|3,30 g|0,10 g
Malizia deodorant Vetyver 150ml|ALCOHOL DENAT, DUMETHYL ETHER, BUTANE, ISOBUTANE, PARFUM, DIPROPYLENE GLYCOL, ISOPROPYL MYRISTATE, PROPANE, HYDROXYISOHEXYL-3-CYCLOHEXENE CARBOXALDEHYDE, LIMONENE, BENZYL, BENZOATE, LINALOOL, EUGENOL, BUTYLPHENYL, METHYLPROPIONAL, CITRAL, GERANIOL.|0,15l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
BIO jabolka, breskve, banane|sadje* (jabolka 67%, breskvina kaša* 20,00 %, banane*) 13,00 %, iz ekološke pridelave*.|190g|55,00|0,10 g|0,00 g|12,10 g|11,10 g|0,0 g|0,50 g|0,05 g
BIO Breskve s hruško.|voda, koruzna moka, antioksidant: askorbinska kislina, breskve 80,00 %, hruške 9,00 %, ekološke pridelave.|190g|52,00|0,10 g|0,00 g|10,90 g|8,00 g|0,0 g|0,90 g|0,05 g
BIO Zelenjava z rižem in teletino.|zelenjava* (korenje 30%, cvetača) 39,00 %, voda, kuhan riž* 16,00 %, teletina* 8,00 %, repično olje* 2,50 %, *iz ekološke pridelave.|220g|66,00|3,00 g|0,40 g|6,60 g|1,40 g|0,0 g|2,50 g|0,05 g
BIO Zelenjava z rižem in piščančjim mesom 190g|zelenjava 45,00 %, voda, kuhan riž 22,00 %, piščančje meso 22,00 %, repično olje 1,70 %, ekološke pridelave.|190g|65,00|2,70 g|0,50 g|6,90 g|1,50 g|0,0 g|2,50 g|0,05 g
BIO KAŠICA Z RIŽEM IN TELETINO.|korenje 32,00 %, kuhan riž 30,00 %, telečje meso 8,00 %, repično olje 2,00 %.|190g|65,00|2,40 g|0,30 g|7,70 g|1,30 g|0,0 g|2,40 g|0,05 g
Kompot višnja, razkoščičene višnje v sirupu|višnje, voda, sladkor.|680g|67,00|0,00 g|0,00 g|16,00 g|14,00 g|0,0 g|0,80 g|0,00 g
Bonboni komprimati z okusom sadja|sladkor, glukozni sirup, kislina (citronska kislina E330), sredstvo za uravnavanje kislosti (natrijevi citrati E331), rastlinska maščoba (popolnoma hidrogenirano palmovo olje, olje palmovih jedrc), emulgator (mono- in digliceridi maščobnih kislin E471), aroma, naravna barvila: okus češnja (koncentrat grozdja, črnega ribeza in črnega korenja), okus jagoda (koncentrat črnega ribeza in črnega korenja).|17g|400,00|1,60 g|1,60 g|95,00 g|95,00 g|0,0 g|0,00 g|0,83 g
Bonboni komprimati z okusom sadja|sladkor, glukozni sirup, kislina (citronska kislina e330), sredstvo za uravnavanje kislosti (natrijevi citrati e331), rastlinska maščoba (popolnoma hidrogenirano palmovo olje, olje palmovih jedrc), emulgator (mono- in digliceridi maščobnih kislin e471), aroma, naravna barvila: okus limona (koncentrat žafranike, koncentrat limoninega soka), okus pomaranča (koncentrat paprike), okus češnja (koncentrat grozdja, črnega ribeza in črnega korenja), okus jagoda (koncentrat črnega ribeza in črnega korenja), okus malina (koncentrat črnega korenja).|8g|400,00|1,60 g|1,60 g|95,00 g|95,00 g|0,0 g|0,00 g|0,83 g
Malizia pena za vritje Vetyver 300ml|AQUA, STEARIC ACID, TRIETHNOLAMINE, SORBITOL, BUTANE, POLYSORBATE 60, POLYSORBATE 20, CETEARYL OCTANOATE, PROPANE, ISOBUTANE, THEOBROMA CACAO SEED BUTTER, PROPYLENE GLYCOL, PEG-12 DIMETHICONE COPOLYOL ALOE BARBADENSIS LEAF EXTRACT, PARFUM, HYDROXYISOHEXYL 3-CYCLOHEXENE CARBOXALDEHYDE, LIMONENE, BENZYL BENZOATE, LINALOOL, EUGENOL, BUTYLPHENYL METHYLPROPIONAL, CITRAL, METHYLPARABEN, PROPYLPARABEN.|0,3l|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
SOJINI KALČKI|voda 51,40 %, SOJINI KALČKI 48,54 %, citronska kislina 0,06 %.|412g|17,00|0,00 g|0,00 g|2,30 g|0,50 g|1,60 g|1,10 g|0,30 g
SOJINA OMAKA SVETLA|voda, EKSTRAKT SOJINIH SMEN, PŠENIČNA MOKA, sol, kalijev sorbat.|0,15l|50,00|0,00 g|0,00 g|5,80 g|4,40 g|0,0 g|5,80 g|18,00 g
SOJINA OMAKA SVETLA|voda, EKSTRAKT SOJINIH SEMEN, PŠENIČNA MOKA, sol, kalijev sorbat.|0,5l|50,00|0,00 g|0,00 g|5,80 g|4,40 g|0,0 g|5,80 g|18,00 g
SOJINA OMAKA TEMNA|voda, EKSTRAKT SOJINIH SEMEN, sol, sladkor, PŠENIČNA MOKA.|0,15l|126,00|0,00 g|0,00 g|21,50 g|8,80 g|0,0 g|8,60 g|23,30 g
Marmeladni namaz mešano sadje|sladkor, sadna kaša mešanega sadja (jabolka, slive, višnje), želirno sredstvo (pektin), kislina (citronska kislina), konzervans (kalijev sorbat, ŽVEPLOV DIOKSID).|700g|240,00|0,00 g|0,00 g|60,00 g|60,00 g|0,0 g|0,00 g|0,00 g
JOŠT SIR LAHKI 2,6KG|MLEKO, LIZOCIN, sirilo, sol, mikrobiološke kulture.|1kg|243,00|15,00 g|9,80 g|0,10 g|0,10 g|0,0 g|27,00 g|1,80 g
Sardine z zelenjavo|SARDELE 50,00 %, omaka (voda, paradižnikov koncetrat 14,00 %, SOJINO OLJE, sladkor, kuhinjska sol, kis, PŠENIČNA MOKA, ZAČIMBE (ZELENA)), zelenjava (korenje, paprika).|115g|125,00|5,70 g|1,70 g|3,30 g|2,80 g|0,0 g|15,00 g|0,95 g
Tun z zelenjavo v paradižnikovi omaki|TUN (THUNNUS ALBACARES) 51,00 %, omaka (voda, paradižnikov koncentrat 15,00 %, RASTLINSKO OLJE (SOJINO), sladkor, PŠENIČNA MOKA, kuhinjska sol, kis, ZAČIMBE (ZELENA)), zelenjava (korenje, paprika).|115g|124,00|4,30 g|0,80 g|5,30 g|3,90 g|0,0 g|16,00 g|1,30 g
Zmes za pripravo kreme za torto z okusom vanilije.|sladkor, glukozni sirup, popolnoma hidrogenirana mast palminega semena, emulgatorji (e472a, e471), instant želatina, modificiran škrob, NATRIJEV KAZEINAT (VSEBUJE MLEKO), stabilizator e340, sredstvo proti sprijemanju e341, aroma, barvilo: karoten.|45g|169,00|7,60 g|6,90 g|21,00 g|15,00 g|0,0 g|4,60 g|0,15 g
Zmes za pripravo kreme za torto z okusom čokolade.|sladkor, manj masten kakav v prahu 18,00 %, glukozni sirup, palmino olje in popolnoma hidrogenirana maščoba palminega semena, modificiran škrob, emulgatorji (e471, e472a, e472e), instant želatina, čokolada v prahu (sladkor, kakavova masa, manj masten kakav v prahu, naravna aroma) 1,90 %, kakavovi deli: najmanj 48,2 %, MLEČNA BELJAKOVINA, aroma.|65g|184,00|6,80 g|5,60 g|25,00 g|21,00 g|0,0 g|4,90 g|0,31 g
Prašek za pripravo pudinga in kreme z okusom čokolade za 1/2l (500 ml) mleka.|sladkor, modificiran škrob, manj masten kakav v prahu 9,00 %, gostilo: karagenan, čokolada v prahu (sladkor, kakavova masa, manj masten kakav v prahu, naravna aroma) 1,90 %, kakavovi deli: najmanj 48,2 %, aroma.|104g|104,00|1,50 g|1,00 g|19,00 g|15,00 g|0,0 g|3,20 g|0,17 g
Fin jedilni škrob za izboljšanje kolačev, piškotov in sladic.|koruzni škrob.|200g|352,00|0,00 g|0,00 g|87,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Kremfix mešanica za utrjevanje stepene smetane. Utrjevalec za 200-250g (0,2-0,25l) sladke smetane.|sladkor, modificiran škrob, sredstvo za uravnavanje kislosti (e341).|10g|380,00|0,00 g|0,00 g|95,00 g|58,00 g|0,0 g|0,00 g|0,40 g
Zmes za pripravo tortnega preliva za 250 ml (1/4 l) tekočine (vode ali sadnega soka).|sladkor, sredstvi za želiranje (karagenan, kalijev klorid), sredstvo za zgostitev: karuba guma, sredstvi za uravnavanje kislosti: kalijev citrat, kalijev tartarat, citronska kislina, palmovo olje.|12g|341,00|0,00 g|0,00 g|81,00 g|81,00 g|0,0 g|0,00 g|0,53 g
Mleta bela želatina. Vsebina vrečke zadostuje za 0,5l Tekočine.|želatina.|10g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Soda Bikarbona, Natrijev bikarbonat.|natrijev bikarbonat ( E500b ).|20g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Citronska kislina - ena vrečka (20g) ustreza 300ml (pribl. 2 čajni žlički) limoninega soka.|citronska kislina.|20g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Prašek za pripravo pudinga z okusom čokolade.|koruzni škrob, manj masten kakav v prahu 13,00 %, čokolada v prahu (sladkor, kakavova masa, manj masten kakav v prahu, aroma), kakavovi deli: najmanj 48,2 %, sol, arome.|49g|100,00|1,50 g|1,00 g|18,00 g|12,00 g|0,0 g|3,40 g|0,17 g
Prašek za puding z okusom vanilije.|koruzni škrob, sol, arome (vanilija, vanilin), barvilo (beta karoten).|38g|95,00|1,40 g|0,90 g|18,00 g|12,00 g|0,0 g|3,10 g|0,19 g
Mešanica mlečnega (50%) in lešnikovega (50%) kremnega namaza|sladkor, sončnično olje, LEŠNIKI 11,00 %, POLNOMASTNO MLEKO V PRAHU 10,50 %, rastlinska maščoba (palmova maščoba, SOJINA MAŠČOBA), POSNETO MLEKO V PRAHU 5,00 %, manjmasten kakavov prah 3,00 %, SIROTKA V PRAHU, dekstroza, EMULGATOR (SOJIN LECITIN), popolnoma hidrogenirana repična maščoba, aroma.|400g|549,00|32,00 g|7,00 g|57,00 g|57,00 g|0,0 g|7,00 g|0,20 g
NEGAZIRANA BREZALKOHOLNA PIJAČA IZ RASTLINSKIH IZVLEČKOV Z OKUSOM BRESKVE|voda 88,38 %, sladkor 10,38 %, citronska kislina 0,42 %, askorbinska kislina 0,15 %, sadna baza 0,67 %, IZVLEČEK JEČMENOVEGA SLADA 0,08 %.|0,5l|37,50|0,10 g|0,10 g|9,20 g|9,10 g|0,0 g|0,10 g|0,05 g
Zeleni stročji fižol, hitro zamrznjen.|stročji fižol.|450g|22,00|0,10 g|0,10 g|3,30 g|0,10 g|3,50 g|2,20 g|0,10 g
SADNA KAŠA Z JABOLKO BANANO IN PIŠKOTOM|MLEČNI PRIPRAVEK (MLEKO 40 %, voda, olje koruznih kalčkov) 75,00 %, jabolčni sok z nizko vsebnostjo kislin iz koncentrata 19,00 %, breskve, PŠENIČNI ZDROB 5,00 %, jabolka 2,00 %, rižev škrob, POLNOVREDNI ŽITNI KOSMIČI 1,00 %, sredstvo za uravnavanje kislosti: kalcijev karbonat, vitamin b, vitamin a, vitamin d.|190g|77,00|2,80 g|1,10 g|10,50 g|5,00 g|0,0 g|2,10 g|0,05 g
Marmeladni namaz marelica|sladkor 23,00 %, sadna kaša marelice, sadna kaša jabolk, želirno sredstvo (pektin), kislina (citronska kislina), konzervans (kalijev robat, ŽVEPLOV DIOKSID).|700g|240,00|0,00 g|0,00 g|60,00 g|60,00 g|0,0 g|0,00 g|0,00 g
Marmeladni namaz jagoda|sladkor, sadna kaša jabolk, sadne kaše jagod 20,00 %, želirno sredstvo (pektin), kislina (citronska kislina), konzervans (kalijev sorbat, ŽVEPLOV DIOKSID), barvilo (karmin), aroma.|700g|240,00|0,00 g|0,00 g|60,00 g|60,00 g|0,0 g|0,00 g|0,00 g
Piškoti z žitaricami|OVSENI KOSMIČI 34,00 %, PŠENIČNA POLNOZRNATA MOKA 34,00 %, sladkor, glukozni sirup, sredstva za vzhajanje (amonijev hidrogenkarbonat, natrijev hidrogenkarbonat), jedilna sol, arome, arome.|250g|466,00|19,50 g|8,80 g|60,70 g|15,50 g|8,00 g|8,00 g|0,63 g
Hibiskus, zeliščni čaj|cvetovi hibiskusa.|80g|0,00|0,00 g|0,00 g|0,00 g|0,00 g|0,0 g|0,00 g|0,00 g
Prašek za kremo z okusom vanilije in smetane.|sladkor, POSNETO MLEKO V PRAHU, modificiran škrob, popolnoma hidrogenirana rastlinska maščoba (palmova maščoba, kokosova maščoba), jedilna želatina (goveja), glukozni sirup, emulgator (e 472a), MLEČNE BELJAKOVINE, stabilizator (kalijevi fosfati), barvilo (beta karoten, izvleček paprike), aroma.|100g|422,00|8,50 g|8,10 g|71,00 g|54,00 g|0,0 g|15,00 g|0,43 g
Juha z mesnimi cmoki, testeninami in zelenjavo. Dehidrirani izdelek|TESTENINE (DURUM PŠENIČNI ZDROB, JAJCA) 44,00 %, MESNI CMOKI 15% (PŠENIČNA MOKA, PŠENIČNI ZDROB, JAJČNI BELJAK V PRAHU, sušeno goveje meso 5,8%, goveji loj, sušena čebula, kuhinjska sol, palmova maščoba, začimbe, goveji mesni izvleček, sladkor, KRUŠNE DROBTINE (PŠENIČNA MOKA, kvas, kuhinjska sol), JAJCA V PRAHU, antioksidant (izvlečki rožmarina)), kuhinjska sol, palmova maščoba, koruzni škrob, SUŠENA ZELENJAVA (ZELENA, čebula, korenje, rdeča paprika, por), sladkor, maltodekstrin, izvlečki kvasa, aroma, začimbe, barvilo (karamel), list peteršilja.|54g|363,00|11,00 g|7,00 g|51,00 g|13,00 g|4,10 g|13,00 g|13,70 g
Juha z zdrobovimi kroglicami. Dehidrirani izdelek|ZDROBOVE KROGLICE (PŠENIČNI ZDROB 44%, JAJCA V PRAHU, JAJČNI BELJAK V PRAHU, PŠENIČNA MOKA, palmova maščoba, jedilna sol, sladkor, muškatni oreh), jedilna sol, sladkor, palmova maščoba, koruzni škrob, maltodekstrin, izvlečki kvasa, sušena zelenjava 0,5% (čebula, rdeča paprika), aroma, začimbe, list peteršilja, barvilo (karamel).|67g|28,00|1,20 g|0,70 g|3,50 g|0,70 g|0,50 g|0,70 g|0,97 g
Fino pekovsko pecivo - krhki vafli z mlečno čokolado (43%)|sladkor, PŠENIČNA MOKA, rastlinska maščoba (palmova), kakavovo maslo, POSNETO MLEKO V PRAHU, kakavova masa, IZDELKI IZ SIROTKE, maslena maščoba, emulgator: lecitin, MLEČNI SLADKOR, glukozni sirup, JAJČNI RUMENJAK V PRAHU, jedilna sol, MLEKO V PRAHU, sredstvo za vzhajanje: natrijev karbonat, arome, začimbe.|100g|536,00|30,20 g|20,50 g|59,10 g|37,50 g|0,0 g|6,00 g|0,38 g
Vafelj oblit z mlečno čokolado, z mlečnim in lešnikovim polnilom (54%).|mlečna čokolada 31,50 %, sladkor, PALMOVO OLJE, PŠENIČNA MOKA, LEŠNIKI 10,80 %, POSNETO MLEKO V PRAHU 8,50 %, POLNOMASTNO MLEKO V PRAHU 5,50 %, čokolada, manj masten kakav v prahu, EMULGATOR: LECITINI, sredstvi za vzhajanje.|43g|572,00|37,30 g|17,30 g|49,50 g|41,20 g|0,0 g|8,60 g|0,27 g
NEGAZIRANA BREZALKOHOLNA PIJAČA IZ RASTLINSKIH IZVLEČKOV|voda 88,60 %, sladkor 9,79 %, sadna baza 1,61 %.|0,5l|37,00|0,00 g|0,00 g|9,10 g|9,10 g|0,0 g|0,00 g|0,00 g
Med cvetlični, 450 g|med.|450g|0,00|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Pecilni prašek|emulgator E450a, sredstvo za vzhajanje E500b, koruzni škrob.|72g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Prašek za pripravo pudinga z okusom čokolade.|koruzni škrob, manj masten kakav v prahu 13,00 %, sol, arome, čokolada v prahu (sladkor, kakavova masa, manj masten kakav v prahu, aroma), kakavovi deli: najmanj 48,2 %.|147g|100,00|1,50 g|1,00 g|18,00 g|12,00 g|0,0 g|3,40 g|0,17 g
Prašek za pripravo pudinga z okusom vanilije.|koruzni škrob, sol, arome (vanilij, vanilin), barvilo (beta karoten).|114g|95,00|1,40 g|0,90 g|18,00 g|12,00 g|0,0 g|3,10 g|0,19 g
Suhi pekovski kvas.|suhi pekovski kvas, emulgator 491.|28g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g|0,0 g
Rjavi kristalni nerafinirani trsni sladkor Golden Granulated|rjavi kristalni sladkor 100,00 %.|1kg|399,00|0,00 g|0,00 g|99,70 g|99,70 g|0,0 g|0,00 g|0,13 g
STROČJI FIŽOL, narezan. Steriliziran.|narezan stročji fižol, voda, sol.|800g|26,00|0,20 g|0,00 g|3,00 g|0,80 g|2,80 g|1,60 g|0,75 g
Kisli gumijevi bonboni z okusom sadja.|glukozni sirup, sladkor, modificiran škrob, želatina, kisline: citronska kislina, mlečna kislina, jabolčna kislina, sredstvi za uravnavanje kislosti: kalcijev citrati, natrijev malat, naravne arome, rastlinski koncentrati (črni ribez, črno korenje, rdeče grozdje, rdeča redkvica, češnja, žafranika), ekstrakt kurkume, koncentrat alge spiruline.|200g|335,00|0,00 g|0,00 g|77,00 g|48,00 g|0,50 g|4,20 g|0,20 g
PREPEČENEC S POLNOZRNATO PŠENIČNO MOKO|PŠENIČNA MOKA, POLNOZRNATA PŠENIČNA MOKA 39,60 %, sončnično olje, kvas, EKSTRAKT SLADA (IZ JEČMENA IN KORUZE), sol.|300g|393,00|5,70 g|0,60 g|69,50 g|6,00 g|7,20 g|12,30 g|1,00 g
PREPEČENEC Z EKSTRA DEVIŠKIM OLJEM Z VITAMINI, KALCIJEM IN ŽELEZOM|PŠENIČNA MOKA, oljčno olje, dekstroza, kvas, SLADNI EKSTRAKT (JEČMEN IN KORUZA), sol, kalcijev karbonat, železov laktat, vitamini (pp, b5, b6, b2, b1, folacin), naravna aroma.|300g|400,00|5,80 g|2,40 g|73,40 g|6,50 g|4,30 g|11,40 g|1,25 g
Domači lincer 450g. Fini pekovski izdelek.|BELA PŠENIČNA MOKA, margarina (rastlinska olja, rastlinske maščobe, voda, jedilna sol), EMULGATOR: SOJIN LECITIN, konzervans sorbinska kislina, kislina: citronska kislina, aroma, naravno barvilo: beta karoten, marmelada (sadna kaša iz jabolk, sliv in višenj, sladkor, kislina: citronska kislina, želirno sredstvo pektin, konzervansi (kalijev sorbat, ŽVEPLOV DIOKSID)) 24,50 %, JAJCA, vanilin sladkor.|450g|454,00|23,70 g|12,20 g|55,40 g|20,80 g|0,0 g|4,90 g|0,00 g
Lincer s kakavovim prelivom 500g. Fini pekovski izdelek.|BELA PŠENIČNA MOKA, margarina (rastlinska olja, rastlinske maščobe, voda, jedilna sol), sojin lecitin, konzervans, sorbinska kislina, citronska kisllina, aroma, naravno barvilo beta karoten, sladkor, marmelada (sadna kaša iz jabolk, sliv in višenj, sladkor, citronska kislina, želirno sredstvo pektin, konzervansa kalijev sorbat, ŽVEPLOV DIOKSID) 19,70 %, čokoladni obliv (sladkor, kakavov prah (12 % kakavovo maslo), hidrogenizirane rastlinske maščobe, SOJIN LECITIN, LAKTOZA) 10,00 %, JAJCA, vanilin sladkor.|500g|469,00|25,80 g|14,80 g|54,00 g|21,60 g|0,0 g|5,00 g|0,00 g
Orehovi rogljički 350g. Fini pekovski izdelek.|PŠENIČNA MOKA, margarina (rastlinska olja, rastlinske maščobe, voda, jedilna sol), SOJIN LECITIN, sorbinska kislna, citronska kislina, aroma, naravno barvilo beta karoten, sladkor, OREHI 12,00 %, DROBTINE, JAJCA, vanilin sladkor, MLEKO, natrijev hidrogenkarbonat.|350g|485,00|29,10 g|11,90 g|49,00 g|12,30 g|0,0 g|6,70 g|0,01 g
Orehovo pecivo 400g. Fini pekovski izdelek.|BELA PŠENIČNA MOKA, margarina (rastlinska olja, rastlinske maščobe, voda, jedilna sol), SOJIN LECITIN, sorbinska kislina, citronska kislina, aroma, beta karoten, sladkor, OREHI 20,00 %, DROBTINE, JAJCA, vanilin sladkor, naravne arome, rum, cvetlični med, cimet.|400g|499,00|32,60 g|14,40 g|45,40 g|13,70 g|0,0 g|6,10 g|0,00 g
Praznično mešano pecivo 450g. Fini pekovski izdelek.|BELA PŠENIČNA MOKA, margarina (rastlinska olja, rastlinske maščobe, voda, jedilna sol), SOJIN LECITIN, konzervans: sorbinska kislina, kislina: citronska kislina, aroma, naravno barvilo: beta karoten, sladkor, čokoladni obliv (sladkor, hidrogenizirane rastlinske maščobe, kakavov prah (12 % kakavovega masla), POSNETO MLEKO V PRAHU, LAKTOZA, SOJIN LECITIN, arome), marmelada (sadna kaša iz jabolk, sliv in višenj, sladkor, citronska kislina, konzervansa kalijev sorbati, ŽVEPLOV DIOKSID, želirno sredstvo pektin), JAJCA, kokos, OREHI, LEŠNIK, MLEKO, SMETANA, DROBTINE, vanilin sladkor, limona.|450g|493,00|29,80 g|13,00 g|50,10 g|16,80 g|0,0 g|6,20 g|0,00 g
Mešanica zelenjave za francosko solato, hitro zamrznjena|krompir, grah, korenje.|450g|52,00|0,10 g|0,10 g|10,40 g|2,90 g|3,60 g|2,70 g|0,04 g
Smetana za kavo 10% m.m., UVT, homogenizirano.|SMETANA ZA KAVO.|100g|119,00|10,00 g|5,90 g|4,30 g|4,30 g|0,0 g|3,20 g|0,10 g
