ime|sestavine|kolicina|kcal|Maščobe|od tega nasičene maščobe|Ogljikovi hidrati|od tega sladkorji|Prehranske vlaknine|Beljakovine|Sol
SADNI JOGURT MARELICA|JOGURT 86,00 %, marelični pripravek 10% (marelična kaša 40%, voda, marelice 20%, sladkor, koruzni škrob, gostilo: pektini, limonin koncentrat, korenjev koncentrat, naravna aroma), sladkor, MLEČNO KISLINSKE BAKTERIJE.|180g|89,00|3,10 g|1,90 g|12,00 g|11,00 g|0,10 g|3,70 g|0,13 g
Sadni jogurt gozdni sadeži|JOGURT 86,00 %, pripravek gozdnih sadežev 10% (jagodna kaša 31%, sladkor, črni ribez 14%, voda, bezgove jagode 8%, borovnice 5%, koruzni škrob, maline 4,5%, naravna aroma, korenjev koncentrat), sladkor, MLEČNO KISLINSKE BAKTERIJE.|180g|93,00|3,10 g|1,90 g|12,00 g|12,00 g|0,20 g|3,70 g|0,13 g
Sadni jogurt višnja|JOGURT 78,00 %, višnjev pripravek 18% (višnje 60%, višnjev sok 19,0%, voda, sladkor, koruzni škrob, koncentrat črnega korenja, gostilo: pektini, naravna aroma, limonin koncentrat), sladkor, MLEČNO KISLINSKE BAKTERIJE.|180g|88,00|2,80 g|1,70 g|12,00 g|11,00 g|0,10 g|3,40 g|0,13 g
PIJAČA Z OKUSOM JABOLKA, YIPPY, RAUCH, 200ML|voda, sladkor, zgoščeni jabolčni sok, citronska kislina, kalcijev citrat, vitamini, navadni karamel, aroma.|0,2l|40,00|0,10 g|0,10 g|9,90 g|9,80 g|0,0 g|0,10 g|0,00 g
MESNI RAGU Alla bolognese. Mesni ragu na bolonjski način z dodanimi sojinimi beljakovinami, sterilizirano.|voda, svinjsko meso 30,00 %, paradižnikov koncentrat, SOJINE BELJAKOVINE 2,50 %, jodirana sol, koruzni škrob, sladkor, začimbe in ekstrakti začimb, ojačevalec arome (mononatrijev glutamat).|200g|96,00|5,20 g|1,70 g|3,20 g|2,10 g|0,0 g|7,90 g|1,10 g
Sir za pečenje in za žar. Poltrdi sir, s 45% m.m. v s.s., iz kravjega, ovčjega in kozjega mleka.|KRAVJE MLEKO 80,00 %, OVČJE MLEKO, KOZJE MLEKO 20,00 %, jedilna sol, sirilo, meta.|250g|321,00|25,00 g|16,00 g|1,90 g|1,60 g|0,0 g|22,00 g|2,60 g
Mešanica za pripravo jedi golaž|PŠENIČNA MOKA, sušena čebula, kuhinjska sol, koruzni škrob, sušeni paradižnik, sladka začimbna paprika, sladkor, ojačevalec arome (mononatrijev glutaminat), kvasov ekstrakt, začimbe, pekoča začimbna paprika, sušeno korenje, list peteršilja.|65g|317,00|1,90 g|0,30 g|65,00 g|30,00 g|0,0 g|10,00 g|14,00 g
Mešanica za pripravo jedi fižol in prikuhe|PŠENIČNA MOKA, kuhinjska sol, koruzni škrob, sušena čebula, sladka rdeča začimbna paprika, ojačevalci arome (mononatrijev glutaminat, dinatrijev inozinat), sladkor, palmovo olje, sušeno korenje, sušeni paradižnik, kvasov ekstrakt, SUŠEN KOREN ZELENE, sušen česen, začimbe, listi peteršilja, aroma, pekoča začimbna paprika.|60g|319,00|5,70 g|2,80 g|57,00 g|19,00 g|0,0 g|10,00 g|19,50 g
Mešanica za pripravo jedi polnjena paprika|jedilna sol, KRUŠNE DROBTINE (PŠENIČNA MOKA, kvas, kuhinjska sol), sušena čebula, PŠENIČNA MOKA, koruzni škrob, sušeni krompir, ojačevalec arome (mononatrijev glutaminat), česen, JAJCA V PRAHU, črni poper, sladka začimbna paprika, list peteršilja.|60g|280,00|1,60 g|0,40 g|57,00 g|15,00 g|0,0 g|9,40 g|25,00 g
Mešanica za pripravo jedi mleto meso|KRUŠNE DROBTINE (PŠENIČNA MOKA, kvas, kuhinjska sol), PŠENIČNA MOKA, jedilna sol, sušena čebula, ojačevalec arome (mononatrijev glutaminat), koruzni škrob, JAJCA V PRAHU, sušen česen, sladka začimbna paprika, črni poper, palmovo olje, list peteršilja.|90g|348,00|3,10 g|0,90 g|66,00 g|13,00 g|0,0 g|14,00 g|11,00 g
